iter	Passed	Remaining
929	132254	9954
930	132382	9811
931	132523	9669
932	132659	9526
933	132779	9382
934	132934	9241
935	133078	9099
936	133229	8957
937	133372	8815
938	133497	8672
939	133625	8529
940	133749	8385
941	133870	8242
942	134012	8100
943	134160	7958
944	134308	7816
945	134468	7675
946	134597	7532
947	134735	7390
948	134870	7248
949	135008	7105
950	135153	6963
951	135306	6822
952	135443	6679
953	135566	6536
954	135704	6394
955	135830	6251
956	135977	6109
957	136121	5967
958	136253	5825
959	136379	5682
960	136506	5539
961	136640	5397
962	136782	5255
963	136944	5114
964	137071	4971
965	137196	4828
966	137350	4687
967	137494	4545
968	137654	4403
969	137774	4261
970	137903	4118
971	138055	3976
972	138170	3834
973	138324	3692
974	138443	3549
975	138580	3407
976	138726	3265
977	138856	3123
978	139018	2982
979	139156	2839
980	139301	2697
981	139422	2555
982	139564	2413
983	139707	2271
984	139853	2129
985	139970	1987
986	140100	1845
987	140249	1703
988	140389	1561
989	140514	1419
990	140657	1277
991	140788	1135
992	140896	993
993	141042	851
994	141175	709
995	141314	567
996	141458	425
997	141615	283
998	141747	141
999	141903	0
